scenario,tot_stock_C,tot_stock_E,tot_stock_N,tot_stock_P,tot_stock_S
CH1SP0SE1WE1BP1RE0CO0DI1WO1CS0,169762795,6785975,20309940,27434397,1131477
CH0SP0SE0WE1BP1RE0CO0DI1WO1CS0,171207222,3220210,21386068,28652806,958278
CH1SP0SE0WE0BP1RE1CO0DI0WO1CS0,169461514,7241341,22625581,25139610,956538
CH0SP1SE1WE0BP1RE0CO1DI0WO0CS0,171125177,1671125,19852100,32078251,697931
CH1SP1SE0WE0BP0RE0CO1DI1WO0CS0,164661958,3142921,15224436,41431769,963500
CH0SP0SE1WE1BP1RE0CO0DI1WO0CS1,171362713,2245550,21260835,28930878,1624608
CH1SP0SE1WE1BP0RE1CO1DI1WO0CS0,163284212,7216051,18169164,35590031,1165126
CH0SP0SE0WE0BP1RE0CO0DI0WO1CS1,174681828,2587022,22985861,23569392,1600481
CH1SP0SE0WE1BP0RE0CO0DI1WO1CS0,169766453,6501849,18291046,29671883,1193353
CH0SP0SE0WE0BP0RE1CO0DI1WO1CS0,165149542,4876760,18247286,35894303,1256693
CH0SP0SE1WE0BP1RE1CO0DI0WO0CS0,171664660,2659739,23663797,26270706,1165682
CH1SP0SE1WE1BP1RE0CO0DI0WO1CS1,173762130,5108495,22320386,23070090,1163483
CH1SP0SE1WE0BP1RE1CO0DI0WO1CS0,169219010,8309600,22080903,24948980,866091
CH0SP1SE0WE1BP0RE0CO1DI1WO0CS0,166047017,1406094,15392460,41775783,803230
CH1SP1SE0WE1BP1RE0CO1DI0WO0CS0,171143371,1958871,19874521,31614996,832825
CH0SP0SE1WE1BP0RE1CO0DI1WO0CS0,166556154,3419503,18502288,35577015,1369624
CH1SP1SE0WE1BP0RE1CO0DI1WO0CS1,162507734,3533628,14942441,42780968,1659813
CH0SP1SE1WE0BP1RE0CO0DI0WO1CS1,172265691,2423700,19223812,29916374,1595007
CH0SP1SE1WE1BP0RE1CO0DI0WO1CS0,169162380,3298076,15961960,35913997,1088171
CH1SP1SE0WE1BP1RE0CO1DI0WO0CS1,171065095,1756947,19574175,31555592,1472775
CH0SP1SE1WE1BP0RE1CO0DI0WO0CS0,169413677,2076361,16189951,36592940,1151655
CH0SP1SE1WE1BP0RE1CO0DI1WO0CS1,162884392,2253126,14936764,43688991,1661311
CH1SP1SE0WE0BP0RE0CO0DI0WO1CS1,171531377,4039046,16225006,31994295,1634860
CH1SP0SE1WE0BP0RE0CO1DI1WO0CS0,167963988,5706231,18547268,31993578,1213519
CH1SP0SE1WE1BP0RE0CO1DI1WO0CS0,168624227,5233364,18562717,31879857,1124419
CH0SP0SE0WE0BP0RE0CO0DI0WO1CS0,175245857,3203552,19901678,26066087,1007410
CH0SP1SE1WE1BP0RE1CO0DI1WO0CS0,162957981,2237986,15004916,44198232,1025469
CH1SP1SE0WE0BP0RE1CO1DI0WO0CS1,165607250,3945548,16190895,37387073,2293818
CH0SP0SE1WE0BP0RE1CO1DI0WO1CS0,169057523,5893994,19095915,29866999,1510153
CH0SP0SE0WE1BP1RE0CO1DI0WO0CS1,173891470,1543669,23843157,24698938,1447350
CH1SP1SE0WE0BP0RE1CO0DI0WO0CS0,168015238,4102995,16238496,36191709,876146
CH0SP1SE1WE0BP0RE0CO1DI0WO0CS0,171074180,1795728,16397515,35141909,1015252
