,stock_C,stock_E,stock_N,stock_P,stock_S,total_emissions
CH0SP0SE1WE0BP1RE0CO0DI1WO0CS0,106353750.0,2418622.0,14198007.0,15622157.0,956016.0,1374148299186.537
CH0SP0SE1WE0BP1RE0CO0DI1WO0CS1,106036655.0,2251988.0,14089025.0,15547006.0,1623878.0,1375688917984.472
CH0SP0SE1WE0BP1RE0CO0DI1WO1CS0,105882993.0,4035676.0,13444570.0,14999979.0,1185334.0,1375421157473.1318
CH0SP0SE1WE0BP1RE0CO1DI0WO0CS0,108440901.0,2210040.0,16159141.0,11866713.0,871757.0,1375734100599.0127
CH0SP0SE1WE0BP1RE0CO1DI0WO0CS1,107758586.0,2221284.0,15863006.0,11839248.0,1866428.0,1378079153911.3052
CH0SP0SE1WE0BP1RE0CO1DI0WO1CS0,107695486.0,4330550.0,15460386.0,11296678.0,765452.0,1372889706509.9421
CH0SP0SE1WE0BP1RE0CO1DI1WO0CS0,104199122.0,2929293.0,14134180.0,17199318.0,1086639.0,1354758840979.1423
CH0SP0SE1WE0BP1RE1CO0DI0WO0CS0,106354055.0,2628685.0,16217442.0,13234934.0,1113436.0,1364908075760.4111
CH0SP0SE1WE0BP1RE1CO0DI0WO0CS1,105563552.0,2472560.0,16037035.0,13039837.0,2435568.0,1367488416088.556
CH0SP0SE1WE0BP1RE1CO0DI0WO1CS0,105798722.0,4346240.0,15602021.0,12724976.0,1076593.0,1363406526867.4624
CH0SP0SE1WE0BP1RE1CO0DI0WO1CS1,104939380.0,4290137.0,15097539.0,12444173.0,2777323.0,1369276373149.4968
CH0SP0SE1WE0BP1RE1CO0DI1WO0CS0,100902697.0,3147558.0,13834251.0,20339363.0,1324683.0,1335147498705.463
CH0SP0SE1WE0BP1RE1CO0DI1WO0CS1,100576837.0,3118095.0,13640263.0,19699815.0,2513542.0,1340576830410.71
CH0SP0SE1WE0BP1RE1CO0DI1WO1CS0,100339184.0,5199415.0,13029809.0,19680128.0,1300016.0,1334658302160.607
CH0SP0SE1WE0BP1RE1CO1DI0WO0CS0,104580621.0,3096317.0,16126295.0,14437149.0,1308170.0,1349875413242.5273
CH0SP0SE1WE0BP1RE1CO1DI0WO0CS1,103749005.0,2876077.0,15918847.0,14026766.0,2977857.0,1354816622279.8657
CH0SP0SE1WE0BP1RE1CO1DI0WO1CS0,103851508.0,5374392.0,15326668.0,13631375.0,1364609.0,1348475849016.1047
CH0SP0SE1WE0BP1RE1CO1DI1WO0CS0,98432730.0,3733831.0,13722882.0,22398777.0,1260332.0,1313879562471.485
CH0SP0SE1WE1BP0RE0CO0DI0WO0CS0,110427214.0,2096297.0,12606883.0,13513333.0,904825.0,1259990015160.5872
CH0SP0SE1WE1BP0RE0CO0DI0WO0CS1,110139418.0,2072299.0,12703400.0,12815763.0,1817672.0,1262145147868.039
CH0SP0SE1WE1BP0RE0CO0DI0WO1CS0,110028630.0,3530103.0,12163044.0,12743760.0,1083015.0,1260031187738.4868
CH0SP0SE1WE1BP0RE0CO0DI0WO1CS1,109727825.0,3630795.0,12058870.0,12568012.0,1563050.0,1260928858016.907
CH0SP0SE1WE1BP0RE0CO0DI1WO0CS0,106556401.0,2485706.0,11542734.0,17906721.0,1056990.0,1242448264652.247
CH0SP0SE1WE1BP0RE0CO0DI1WO0CS1,106345741.0,2627038.0,11509911.0,17421507.0,1644355.0,1244195696317.6655
CH0SP0SE1WE1BP0RE0CO0DI1WO1CS0,106077290.0,4536314.0,10975872.0,16815512.0,1143564.0,1242081353666.9375
CH0SP0SE1WE1BP0RE0CO1DI0WO0CS0,108866626.0,2519838.0,12847628.0,14249917.0,1064543.0,1266412477105.8433
CH0SP0SE1WE1BP0RE0CO1DI0WO0CS1,108533395.0,2507746.0,12832156.0,14055330.0,1619925.0,1266939978227.4438
CH0SP0SE1WE1BP0RE0CO1DI0WO1CS0,108335611.0,4555051.0,12056096.0,13496950.0,1104844.0,1265441406376.7888
CH0SP0SE1WE1BP0RE0CO1DI1WO0CS0,104636623.0,3008902.0,11614252.0,19292833.0,995942.0,1243419944496.0571
CH0SP0SE1WE1BP0RE1CO0DI0WO0CS0,106910379.0,2712270.0,12407688.0,16117854.0,1400361.0,1244163000099.3103
CH0SP0SE1WE1BP0RE1CO0DI0WO0CS1,106545042.0,2739629.0,12331451.0,15562177.0,2370253.0,1246299981469.3655
