scenario,total_emissions
CH0SP0SE1WE0BP1RE0CO0DI1WO0CS0,2404873675449.8223
CH0SP0SE0WE0BP1RE1CO1DI0WO0CS0,2379744994486.7803
CH1SP0SE1WE0BP1RE0CO0DI1WO0CS0,2399930955928.6396
CH1SP0SE1WE1BP0RE1CO0DI0WO0CS0,2271429205629.6313
CH1SP1SE0WE0BP0RE1CO1DI0WO1CS0,2372658505968.784
CH0SP1SE1WE1BP1RE0CO0DI0WO0CS0,2274481499750.2812
CH0SP1SE1WE0BP0RE0CO1DI0WO0CS1,2415530807828.4067
CH1SP1SE0WE1BP0RE0CO0DI1WO0CS1,2263795608753.26
CH1SP1SE0WE0BP1RE0CO1DI0WO1CS0,2390612179912.098
CH0SP0SE0WE1BP0RE0CO0DI0WO1CS1,2295196257919.539
CH0SP0SE1WE1BP1RE0CO0DI1WO1CS0,2261148195913.6045
CH0SP0SE1WE1BP1RE0CO1DI0WO0CS0,2282820552393.4443
CH0SP1SE1WE0BP0RE1CO1DI0WO0CS1,2387947658887.3994
CH1SP0SE1WE0BP0RE1CO1DI1WO0CS0,2354045871107.3057
CH1SP1SE0WE0BP1RE1CO1DI1WO0CS0,2324788523138.1323
CH0SP1SE1WE1BP1RE0CO0DI0WO0CS1,2276560607257.411
CH1SP0SE1WE0BP1RE1CO0DI0WO1CS1,2389766484049.3623
CH1SP1SE0WE0BP0RE0CO0DI0WO0CS0,2431710215059.9893
CH1SP1SE0WE0BP0RE1CO1DI0WO0CS0,2379587944654.7563
CH1SP0SE1WE0BP0RE0CO0DI1WO1CS0,2407363000474.1743
CH0SP1SE1WE0BP1RE1CO0DI0WO0CS0,2392953306708.3813
CH1SP0SE0WE0BP1RE1CO1DI0WO0CS1,2378932136463.083
CH1SP0SE0WE0BP1RE0CO0DI1WO0CS1,2401388660525.466
CH0SP1SE1WE1BP0RE0CO1DI0WO0CS0,2290482616594.4478
CH0SP0SE0WE0BP1RE1CO0DI1WO0CS0,2364743069758.4453
CH1SP1SE0WE1BP0RE1CO1DI1WO0CS0,2226838785260.337
CH0SP1SE1WE1BP0RE1CO1DI1WO0CS0,2230231817700.8403
CH1SP0SE0WE1BP0RE1CO0DI1WO1CS0,2240795901923.5703
CH0SP0SE0WE0BP1RE1CO0DI1WO1CS0,2365096296065.585
CH1SP0SE0WE1BP0RE1CO0DI0WO1CS0,2266740649498.457
CH0SP1SE0WE1BP0RE0CO0DI0WO0CS0,2289178862523.8853
CH0SP1SE1WE0BP1RE1CO0DI1WO0CS0,2349787512061.6387
CH0SP0SE1WE1BP1RE0CO0DI1WO0CS0,2263264878910.3604
CH0SP1SE0WE1BP0RE1CO1DI0WO1CS0,2268284542335.791
CH0SP1SE1WE1BP0RE0CO0DI0WO0CS1,2289802686676.8037
CH1SP1SE0WE1BP0RE0CO0DI0WO0CS1,2288488892002.1465
CH0SP1SE0WE1BP0RE1CO1DI0WO0CS0,2269495612399.7275
CH1SP0SE0WE0BP1RE0CO0DI1WO1CS0,2393032720083.8706
CH0SP1SE1WE0BP1RE1CO0DI0WO1CS0,2388722947566.75
CH1SP0SE1WE1BP1RE0CO1DI0WO1CS0,2273763671826.9854
CH0SP1SE0WE0BP0RE0CO0DI0WO0CS0,2433527857545.6465
CH0SP0SE1WE0BP0RE0CO0DI0WO1CS0,2443413291478.6406
CH1SP1SE0WE1BP1RE0CO0DI0WO0CS0,2272803643539.967
CH0SP0SE0WE0BP1RE1CO1DI0WO1CS0,2375906117426.8887
CH1SP0SE1WE0BP1RE1CO1DI0WO0CS0,2373925431930.7656
CH0SP0SE0WE0BP0RE0CO0DI1WO0CS1,2414339763283.8213
CH1SP0SE1WE1BP0RE1CO1DI0WO1CS0,2268487968792.8706
CH0SP0SE1WE1BP0RE0CO0DI0WO1CS1,2293486557567.91
CH0SP1SE1WE0BP0RE0CO0DI0WO0CS0,2432063669364.037
CH1SP1SE0WE0BP1RE0CO0DI0WO1CS1,2415604902586.691
CH1SP0SE1WE0BP0RE0CO0DI1WO0CS1,2414220331128.6904
CH1SP1SE0WE0BP1RE1CO1DI0WO0CS0,2365745772694.345
CH1SP0SE1WE0BP1RE1CO0DI1WO0CS0,2362207024896.3926
CH1SP0SE1WE1BP1RE0CO0DI0WO0CS0,2274930861523.0195
CH1SP0SE1WE1BP0RE0CO0DI0WO1CS1,2288179176785.688
CH0SP1SE1WE0BP1RE1CO1DI1WO0CS0,2325498819314.848
CH0SP1SE0WE1BP1RE0CO0DI0WO0CS1,2275985436867.3633
CH1SP0SE1WE1BP0RE1CO0DI1WO1CS0,2241171549772.6265
CH0SP1SE0WE1BP0RE1CO0DI1WO0CS0,2235704546711.0117
CH0SP0SE1WE1BP0RE0CO0DI1WO1CS0,2271621687313.4976
CH0SP1SE1WE0BP0RE0CO1DI1WO0CS0,2376389284119.1895
CH0SP0SE0WE0BP0RE1CO1DI0WO1CS0,2397056397543.102
CH0SP1SE1WE0BP1RE0CO1DI0WO0CS1,2403258554741.757
CH0SP1SE1WE0BP0RE1CO0DI1WO1CS0,2358208745362.968
CH0SP1SE0WE1BP0RE0CO0DI1WO0CS1,2263521458866.78
CH0SP0SE0WE1BP0RE1CO0DI1WO0CS1,2247891445942.166
CH0SP0SE1WE0BP1RE0CO0DI0WO1CS0,2424802905475.2173
CH1SP1SE0WE1BP1RE0CO0DI1WO0CS1,2253436470581.9067
CH1SP0SE0WE0BP0RE0CO0DI0WO1CS1,2436796079936.159
CH1SP1SE0WE0BP0RE1CO0DI1WO1CS0,2351432019173.295
CH1SP1SE0WE1BP0RE1CO0DI0WO0CS0,2267320119066.602
CH0SP0SE0WE0BP0RE1CO0DI1WO0CS0,2373547113505.2695
CH1SP0SE0WE0BP1RE1CO1DI0WO0CS0,2374577959702.532
CH0SP1SE0WE0BP1RE1CO1DI0WO0CS1,2374570194654.2754
CH1SP0SE0WE1BP0RE1CO1DI1WO0CS0,2241963034008.1885
CH1SP0SE0WE0BP1RE0CO1DI0WO0CS0,2401921396771.3257
CH0SP0SE1WE0BP0RE1CO0DI0WO1CS0,2415418274489.066
CH1SP0SE0WE0BP1RE1CO0DI1WO1CS0,2356531389550.147
CH0SP0SE1WE0BP1RE0CO1DI0WO0CS1,2411662931288.503
CH0SP1SE1WE1BP1RE0CO0DI1WO0CS1,2254444677911.8125
CH1SP0SE1WE1BP1RE0CO0DI1WO1CS0,2257567003754.846
CH0SP0SE0WE1BP1RE0CO0DI1WO1CS0,2259264344433.9624
CH1SP0SE0WE0BP1RE1CO0DI0WO1CS0,2386727654567.5215
CH0SP1SE1WE0BP1RE0CO1DI0WO0CS0,2399267616216.967
CH1SP1SE0WE0BP0RE0CO1DI1WO0CS0,2371851087469.1973
CH0SP0SE1WE1BP1RE0CO0DI1WO0CS1,2264881777481.7773
CH1SP0SE1WE1BP0RE1CO1DI1WO0CS0,2242218693259.5728
CH0SP0SE0WE0BP1RE0CO0DI0WO1CS1,2426445276125.217
CH1SP0SE0WE1BP0RE0CO0DI1WO1CS0,2266499619000.1006
CH0SP0SE0WE0BP0RE1CO0DI1WO1CS0,2372107453598.506
CH0SP0SE1WE0BP1RE1CO0DI0WO0CS0,2397291328355.2847
CH1SP0SE1WE1BP1RE0CO0DI0WO1CS1,2272864249129.6445
CH1SP0SE1WE0BP1RE1CO0DI0WO1CS0,2386954763672.9756
CH0SP1SE0WE1BP0RE0CO1DI1WO0CS0,2257008370372.934
CH1SP1SE0WE1BP1RE0CO1DI0WO0CS0,2274566712855.55
CH0SP0SE1WE1BP0RE1CO0DI1WO0CS0,2247766358766.301
CH1SP1SE0WE1BP0RE1CO0DI1WO0CS1,2236086344608.8438
CH0SP1SE1WE0BP1RE0CO0DI0WO1CS1,2421395882086.269
CH0SP1SE1WE1BP0RE1CO0DI0WO1CS0,2268921831158.6924
CH1SP1SE0WE1BP1RE0CO1DI0WO0CS1,2278156628300.928
CH0SP1SE1WE1BP0RE1CO0DI0WO0CS0,2270437469511.1357
CH0SP1SE1WE1BP0RE1CO0DI1WO0CS1,2237412521073.2954
CH1SP1SE0WE0BP0RE0CO0DI0WO1CS1,2430556570918.865
CH1SP0SE1WE0BP0RE0CO1DI1WO0CS0,2391842544103.052
CH1SP0SE1WE1BP0RE0CO1DI1WO0CS0,2271724318346.543
CH0SP0SE0WE0BP0RE0CO0DI0WO1CS0,2440725121662.156
CH0SP1SE1WE1BP0RE1CO0DI1WO0CS0,2234332021531.905
CH1SP1SE0WE0BP0RE1CO1DI0WO0CS1,2384170490158.4775
CH0SP0SE1WE0BP0RE1CO1DI0WO1CS0,2396451846250.9346
CH0SP0SE0WE1BP1RE0CO1DI0WO0CS1,2283447470002.114
CH1SP1SE0WE0BP0RE1CO0DI0WO0CS0,2398242156153.28
CH0SP1SE1WE0BP0RE0CO1DI0WO0CS0,2415253307703.4604
CH0SP1SE1WE1BP1RE0CO0DI1WO1CS0,2253754184124.2427
CH0SP0SE0WE0BP1RE0CO1DI0WO0CS0,2407831338692.588
CH1SP0SE1WE1BP0RE0CO0DI1WO1CS0,2265351441742.487
CH0SP1SE0WE0BP0RE1CO0DI1WO0CS1,2359795067000.9126
CH1SP0SE1WE1BP1RE0CO0DI1WO0CS1,2261697870343.7036
CH0SP1SE0WE0BP1RE1CO0DI0WO1CS0,2389383689135.87
CH1SP0SE1WE0BP1RE1CO0DI1WO1CS0,2357792696751.1685
CH1SP1SE0WE0BP1RE0CO1DI1WO0CS0,2361455128784.0425
CH0SP1SE0WE0BP0RE0CO0DI1WO0CS1,2400020064360.9487
CH1SP0SE1WE1BP0RE1CO1DI0WO0CS0,2276449082367.6885
CH0SP0SE1WE0BP1RE1CO0DI0WO1CS0,2395993240511.6416
CH1SP0SE1WE1BP0RE1CO1DI0WO0CS1,2278296043552.4194
CH1SP1SE0WE0BP0RE1CO0DI1WO0CS0,2355746828473.449
CH0SP0SE1WE1BP1RE0CO0DI0WO1CS0,2274564011641.9307
CH1SP1SE0WE1BP0RE1CO1DI0WO0CS0,2265341192408.051
CH0SP1SE0WE1BP0RE0CO1DI0WO1CS0,2287275190399.98
CH0SP1SE1WE0BP1RE1CO1DI0WO0CS1,2376765733400.183
CH1SP0SE1WE1BP0RE1CO0DI0WO1CS0,2267296529788.109
CH0SP1SE1WE0BP0RE1CO1DI0WO0CS0,2386353905962.216
CH0SP0SE0WE0BP1RE0CO0DI0WO0CS1,2426663877399.025
CH1SP0SE0WE0BP1RE0CO1DI1WO0CS0,2376468084025.7837
CH0SP0SE0WE1BP0RE0CO0DI1WO1CS0,2270814274503.8228
CH1SP0SE0WE1BP1RE0CO1DI1WO0CS0,2259001907568.3027
CH0SP0SE1WE0BP1RE1CO0DI1WO0CS1,2370609778494.9556
CH0SP1SE0WE1BP0RE0CO0DI0WO1CS0,2287907633025.315
CH0SP0SE1WE0BP0RE0CO0DI1WO0CS0,2416245540317.923
CH0SP0SE1WE1BP0RE0CO1DI0WO0CS0,2299253687748.358
CH1SP0SE0WE0BP1RE1CO0DI1WO0CS0,2363620663177.1406
CH0SP0SE0WE1BP0RE1CO0DI1WO0CS0,2246114631025.082
CH1SP0SE0WE1BP1RE0CO1DI0WO0CS0,2278881116250.675
CH1SP1SE0WE1BP1RE0CO0DI1WO0CS0,2252986609127.789
CH0SP1SE1WE0BP1RE0CO0DI0WO1CS0,2418023602507.4297
CH0SP0SE0WE1BP0RE1CO0DI0WO1CS0,2273657270571.579
CH1SP0SE1WE0BP1RE1CO1DI1WO0CS0,2342917498011.533
CH0SP0SE1WE0BP0RE0CO0DI0WO0CS1,2443579182291.1846
CH1SP1SE0WE0BP1RE0CO0DI0WO0CS1,2418970961230.0327
CH1SP1SE0WE0BP1RE0CO1DI0WO0CS1,2399008415391.7305
CH1SP0SE0WE0BP0RE0CO1DI0WO0CS1,2421016701049.581
CH0SP1SE0WE0BP0RE0CO0DI0WO0CS1,2434783822058.0684
CH1SP0SE0WE1BP0RE0CO1DI0WO1CS0,2289118652344.8687
CH1SP0SE1WE0BP0RE1CO0DI1WO1CS0,2371095726471.8765
CH0SP1SE1WE0BP0RE0CO0DI0WO1CS1,2434860922804.6665
CH1SP1SE0WE1BP0RE1CO1DI0WO1CS0,2259288768945.1636
CH1SP0SE0WE1BP0RE1CO0DI1WO0CS0,2244634282131.1206
CH0SP1SE0WE0BP0RE1CO0DI0WO0CS0,2403891025852.6807
CH0SP1SE0WE0BP0RE0CO1DI1WO0CS0,2377040484398.877
CH0SP1SE0WE1BP0RE1CO0DI0WO1CS0,2268209954484.984
CH0SP0SE1WE1BP0RE1CO1DI0WO0CS0,2280932190929.2017
CH1SP0SE0WE0BP1RE0CO0DI0WO0CS0,2420498502286.2944
CH0SP1SE0WE0BP0RE1CO1DI0WO1CS0,2382413241576.8125
CH0SP0SE1WE0BP0RE1CO0DI0WO0CS0,2417715355647.064
CH0SP1SE1WE0BP0RE1CO0DI0WO1CS1,2406926236020.1255
CH1SP1SE0WE1BP0RE0CO1DI0WO0CS0,2287041742113.7373
CH1SP0SE0WE1BP0RE1CO1DI0WO1CS0,2268365460904.8477
CH1SP1SE0WE1BP0RE1CO1DI0WO0CS1,2268662324493.654
CH0SP1SE1WE1BP0RE0CO0DI0WO1CS1,2289205549232.775
CH1SP0SE0WE1BP1RE0CO1DI0WO0CS1,2281576326870.1553
CH1SP0SE0WE0BP0RE1CO0DI1WO1CS0,2368013716512.8706
CH0SP0SE1WE0BP1RE1CO0DI1WO0CS0,2365077668701.169
CH1SP0SE1WE1BP1RE0CO0DI0WO0CS1,2275343368209.919
CH0SP1SE0WE0BP1RE1CO1DI1WO0CS0,2323503367491.3115
CH1SP1SE0WE0BP0RE0CO0DI1WO0CS1,2397468807060.9985
CH0SP1SE1WE0BP0RE1CO1DI1WO0CS0,2334483737638.9565
CH0SP0SE0WE0BP1RE1CO1DI0WO0CS1,2382015716443.5503
CH0SP0SE1WE0BP0RE1CO1DI1WO0CS0,2356656145786.127
CH1SP1SE0WE0BP0RE0CO1DI0WO0CS0,2410879945004.3745
CH0SP1SE1WE0BP0RE1CO0DI0WO0CS1,2409665016235.0684
CH0SP0SE0WE0BP0RE1CO1DI0WO0CS1,2401585274301.107
CH0SP0SE1WE1BP0RE0CO0DI0WO1CS0,2292399852536.1685
CH1SP1SE0WE1BP1RE0CO0DI1WO1CS0,2247391111375.577
CH1SP1SE0WE1BP0RE0CO0DI0WO0CS0,2288156336063.885
CH0SP1SE1WE1BP1RE0CO1DI1WO0CS0,2250920090781.488
CH0SP0SE1WE0BP1RE0CO0DI0WO0CS1,2424353607942.617
CH1SP0SE0WE0BP0RE0CO0DI0WO0CS0,2439499736019.1396
CH1SP0SE0WE1BP0RE1CO1DI0WO0CS0,2275624037390.091
CH0SP0SE1WE0BP1RE1CO0DI0WO0CS1,2400388830676.3965
CH1SP0SE1WE0BP1RE1CO0DI0WO0CS0,2392109159245.2007
CH0SP0SE0WE0BP1RE1CO0DI0WO0CS0,2396759384987.8745
CH0SP0SE0WE1BP1RE0CO0DI1WO0CS1,2263193728035.9966
CH1SP0SE1WE1BP1RE0CO1DI0WO0CS0,2277301238441.045
